Date,sentiment_mean,sentiment_count,sentiment_mean_author,sentiment_mean_engagement
2022-09-01,-0.017865350813602826,2652,-0.016980340275654638,-0.017863743799426682
2022-09-02,-0.013163820613035955,2660,-0.011841124595066622,-0.013163820871026343
2022-09-05,-0.023767684961205824,2682,-0.02236837072698625,-0.023765257552140158
2022-09-06,-0.021631204251373673,2699,-0.0203136735920757,-0.021632249485889567
2022-09-07,-0.020477751424133165,2728,-0.02048469778138839,-0.020471267165113136
2022-09-08,-0.012841019172460806,2670,-0.01256975140509878,-0.012860004298741222
2022-09-12,-0.02340389955912943,2619,-0.02412462404741602,-0.023400567110887564
2022-09-13,-0.015089330756814661,2614,-0.014385081228690593,-0.015090105985224598
2022-09-14,-0.013796902291901869,2656,-0.011182127526384861,-0.013796902827777392
2022-09-15,-0.017816920163209175,2688,-0.016474186837892275,-0.017817420254861868
2022-09-16,-0.009980171862355877,2655,-0.009962202543238912,-0.009970062567252292
2022-09-19,-0.028967790742627193,2693,-0.027815762251492213,-0.028976392868790744
2022-09-20,-0.03159659678144465,2672,-0.02951111071510667,-0.03159879917682468
2022-09-21,-0.022272616026060094,2694,-0.021983930775094456,-0.02228933103655766
2022-09-22,-0.01595420353039223,2633,-0.01421832484364218,-0.015952726158289566
2022-09-23,-0.023433339835218985,2626,-0.023884081240578933,-0.02343388813758288
2022-09-26,-0.02349740735451152,2733,-0.022500689987174114,-0.023491673952878357
2022-09-27,-0.022128389986794398,2682,-0.01958619616193891,-0.022127137878000528
2022-09-28,-0.023923779791098842,2646,-0.022846846686612632,-0.023922913582332526
2022-09-29,-0.01826228173187776,2671,-0.018538780868320753,-0.018281407463188574
2022-09-30,-0.023562108426836183,2586,-0.022245627990754427,-0.02355986580418606
2022-10-03,-0.022911982101210673,2623,-0.022464847224835285,-0.022909826620830343
2022-10-04,-0.02356320915557148,2687,-0.02352271387486708,-0.023566732125680896
2022-10-05,-0.018599902347263546,2740,-0.018016549157899735,-0.018602015584097856
2022-10-06,-0.020136716156902858,2674,-0.018313315269794354,-0.02013475723313924
2022-10-07,-0.026474757020651506,2682,-0.024344823096810384,-0.02647361823556794
2022-10-11,-0.018487356899892924,2626,-0.01915231368672424,-0.018489816300754074
2022-10-12,-0.01876574403194119,2634,-0.016683670858001647,-0.018767545393690015
2022-10-13,-0.02428306400754854,2674,-0.025444678959975448,-0.02429704507772022
2022-10-14,-0.022375882976415618,2654,-0.022536863862016317,-0.0223840517770165
